Ingredient,Total Quantity,Location Info
Bomb Ash,30.0,Southern Thanalan ( 22.2 / 29.9 )
Carbon Fiber,30.0,"Nowhere ( 0.0 / 0.0 ), Sold by Scrip Exchange"
Cobalt Ore,30.0,Northern Thanalan ( 23.1 / 24.2 )
Coke,162.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Cryptomeria Log,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Submarine Voyages"
Dhalmel Saliva,36.0,"The Sea of Clouds ( 17.3 / 32.2 ), Dropped by Dhalmel"
Dravanian Spring Water,18.0,The Dravanian Forelands ( 27.4 / 31.8 )
Earth Cluster,66.0,
Earth Crystal,54.0,
Effervescent Water,30.0,South Shroud ( 16.0 / 19.7 )
Eikon Mythrite,36.0,"Nowhere ( 0.0 / 0.0 ), Sold by Spoils Collector"
Ferberite,12.0,"Northern Thanalan ( 17.3 / 19.9 ), Timed at 3:00am ET"
Fire Cluster,162.0,
Fire Crystal,54.0,
Fire Shard,60.0,
Glass Fiber,30.0,"Nowhere ( 0.0 / 0.0 ), Sold for 7000 GC Seals (captain)"
Gold Ore,30.0,"Eastern Thanalan ( 27.3 / 21.3 ), Timed at 10:00am"
Hardened Sap,81.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Hardsilver Sand,72.0,The Churning Mists ( 15.9 / 28.5 )
Ice Crystal,54.0,
Ice Shard,90.0,
Iron Ore,60.0,"Nowhere ( 0.0 / 0.0 ), Sold by Material Supplier"
Iron Ore,60.0,Western Thanalan ( 27.2 / 17.4 )
Lightning Crystal,210.0,
Lumythrite Ore,54.0,"The Churning Mists ( 9.3 / 38.5 ), Timed at 2AM/PM ET (Legendary)"
Mythrite Ore,36.0,Coerthas Western Highlands ( 31.2 / 12.8 )
Native Gold,30.0,"Central Thanalan ( 25.2 / 15.8 ), Timed at 4:00am ET"
Platinum Ore,36.0,"Southern Thanalan ( 16.7 / 10.7 ), Timed at 4:00am ET"
Pure Titanium Ore,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Submarine Voyages"
Raw Rhodonite,36.0,"The Peaks ( 26.9 / 12.5 ), Timed at 8AM/PM ET"
Raziqsand,30.0,"Nowhere ( 0.0 / 0.0 ), Sold for 1500 GC Seals"
Raziqsap,162.0,"Nowhere ( 0.0 / 0.0 ), Sold for 250 GC Seals"
Rock Salt,30.0,Central Thanalan ( 14.5 / 22.7 )
Scheelite,12.0,"Nowhere ( 0.0 / 0.0 ), Sold for 1500 GC Seals"
Silex,90.0,Southern Thanalan ( 22.4 / 29.7 )
Sphalerite,18.0,"Nowhere ( 0.0 / 0.0 ), Sold by NPCs for Scrips"
Stiperstone,12.0,The Peaks ( 23.3 / 13.1 )
Unkiu-Class Bow,1.0,
Vivianite,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Water Crystal,282.0,
Water Shard,60.0,
Wind Cluster,96.0,
Wind Crystal,126.0,
